"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","192.168.56.1","TCP","54","2837  >  8000 [SYN] Seq=0 Win=512 Len=0"
"2","0.000874605","192.168.56.1","10.0.2.15","TCP","60","8000  >  2837 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"3","0.000915332","10.0.2.15","192.168.56.1","TCP","54","2837  >  8000 [RST] Seq=1 Win=0 Len=0"
"4","1.000401169","10.0.2.15","192.168.56.1","TCP","54","2838  >  8000 [SYN] Seq=0 Win=512 Len=0"
"5","1.001788099","192.168.56.1","10.0.2.15","TCP","60","8000  >  2838 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"6","1.001849364","10.0.2.15","192.168.56.1","TCP","54","2838  >  8000 [RST] Seq=1 Win=0 Len=0"
"7","2.001432883","10.0.2.15","192.168.56.1","TCP","54","2839  >  8000 [SYN] Seq=0 Win=512 Len=0"
"8","2.002839295","192.168.56.1","10.0.2.15","TCP","60","8000  >  2839 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"9","2.002888720","10.0.2.15","192.168.56.1","TCP","54","2839  >  8000 [RST] Seq=1 Win=0 Len=0"
"10","3.002328923","10.0.2.15","192.168.56.1","TCP","54","2840  >  8000 [SYN] Seq=0 Win=512 Len=0"
"11","3.003800202","192.168.56.1","10.0.2.15","TCP","60","8000  >  2840 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"12","3.003850941","10.0.2.15","192.168.56.1","TCP","54","2840  >  8000 [RST] Seq=1 Win=0 Len=0"
"13","4.003286027","10.0.2.15","192.168.56.1","TCP","54","2841  >  8000 [SYN] Seq=0 Win=512 Len=0"
"14","4.004311845","192.168.56.1","10.0.2.15","TCP","60","8000  >  2841 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"15","4.004358848","10.0.2.15","192.168.56.1","TCP","54","2841  >  8000 [RST] Seq=1 Win=0 Len=0"
"16","5.003631894","10.0.2.15","192.168.56.1","TCP","54","2842  >  8000 [SYN] Seq=0 Win=512 Len=0"
"17","5.004466734","192.168.56.1","10.0.2.15","TCP","60","8000  >  2842 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"18","5.004500096","10.0.2.15","192.168.56.1","TCP","54","2842  >  8000 [RST] Seq=1 Win=0 Len=0"
"19","6.003960631","10.0.2.15","192.168.56.1","TCP","54","2843  >  8000 [SYN] Seq=0 Win=512 Len=0"
"20","6.004540825","192.168.56.1","10.0.2.15","TCP","60","8000  >  2843 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"21","6.004571788","10.0.2.15","192.168.56.1","TCP","54","2843  >  8000 [RST] Seq=1 Win=0 Len=0"
"22","7.004345366","10.0.2.15","192.168.56.1","TCP","54","2844  >  8000 [SYN] Seq=0 Win=512 Len=0"
"23","7.006364024","192.168.56.1","10.0.2.15","TCP","60","8000  >  2844 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"24","7.006429597","10.0.2.15","192.168.56.1","TCP","54","2844  >  8000 [RST] Seq=1 Win=0 Len=0"
"25","8.004954098","10.0.2.15","192.168.56.1","TCP","54","2845  >  8000 [SYN] Seq=0 Win=512 Len=0"
"26","8.006268425","192.168.56.1","10.0.2.15","TCP","60","8000  >  2845 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"27","8.006331266","10.0.2.15","192.168.56.1","TCP","54","2845  >  8000 [RST] Seq=1 Win=0 Len=0"
"28","9.005798237","10.0.2.15","192.168.56.1","TCP","54","2846  >  8000 [SYN] Seq=0 Win=512 Len=0"
"29","9.007182192","192.168.56.1","10.0.2.15","TCP","60","8000  >  2846 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"30","9.007239036","10.0.2.15","192.168.56.1","TCP","54","2846  >  8000 [RST] Seq=1 Win=0 Len=0"
"31","10.006385310","10.0.2.15","192.168.56.1","TCP","54","2847  >  8000 [SYN] Seq=0 Win=512 Len=0"
"32","10.007825922","192.168.56.1","10.0.2.15","TCP","60","8000  >  2847 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"33","10.007878408","10.0.2.15","192.168.56.1","TCP","54","2847  >  8000 [RST] Seq=1 Win=0 Len=0"
"34","11.006900766","10.0.2.15","192.168.56.1","TCP","54","2848  >  8000 [SYN] Seq=0 Win=512 Len=0"
"35","11.010594534","192.168.56.1","10.0.2.15","TCP","60","8000  >  2848 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"36","11.010658909","10.0.2.15","192.168.56.1","TCP","54","2848  >  8000 [RST] Seq=1 Win=0 Len=0"
"37","12.007871679","10.0.2.15","192.168.56.1","TCP","54","2849  >  8000 [SYN] Seq=0 Win=512 Len=0"
"38","12.009493515","192.168.56.1","10.0.2.15","TCP","60","8000  >  2849 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"39","12.009561849","10.0.2.15","192.168.56.1","TCP","54","2849  >  8000 [RST] Seq=1 Win=0 Len=0"
"40","13.008451926","10.0.2.15","192.168.56.1","TCP","54","2850  >  8000 [SYN] Seq=0 Win=512 Len=0"
"41","13.009893679","192.168.56.1","10.0.2.15","TCP","60","8000  >  2850 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"42","13.009957383","10.0.2.15","192.168.56.1","TCP","54","2850  >  8000 [RST] Seq=1 Win=0 Len=0"
"43","14.008952834","10.0.2.15","192.168.56.1","TCP","54","2851  >  8000 [SYN] Seq=0 Win=512 Len=0"
"44","14.010339185","192.168.56.1","10.0.2.15","TCP","60","8000  >  2851 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"45","14.010454748","10.0.2.15","192.168.56.1","TCP","54","2851  >  8000 [RST] Seq=1 Win=0 Len=0"
"46","15.009569129","10.0.2.15","192.168.56.1","TCP","54","2852  >  8000 [SYN] Seq=0 Win=512 Len=0"
"47","15.011068253","192.168.56.1","10.0.2.15","TCP","60","8000  >  2852 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
