Time,Source,Destination,Length,Info,Protocol
2024-07-03 16:34:10.974422,141.95.98.64,192.168.43.233,54,N/A,TCP
2024-07-03 16:34:10.988077,198.206.157.239,192.168.43.233,116,N/A,TCP
2024-07-03 16:34:11.000780,141.95.98.64,192.168.43.233,66,N/A,TCP
2024-07-03 16:34:11.000780,141.95.98.64,192.168.43.233,54,N/A,TCP
2024-07-03 16:34:11.000780,141.95.98.64,192.168.43.233,66,N/A,TCP
2024-07-03 16:34:11.000780,141.95.98.64,192.168.43.233,54,N/A,TCP
2024-07-03 16:34:11.000780,141.95.98.64,192.168.43.233,102,N/A,TCP
2024-07-03 16:34:11.000780,141.95.98.64,192.168.43.233,102,N/A,TCP
2024-07-03 16:34:11.000856,192.168.43.233,141.95.98.64,54,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001032,192.168.43.233,141.95.98.64,1200,N/A,TCP
2024-07-03 16:34:11.001212,192.168.43.233,141.95.98.64,1424,N/A,TCP
2024-07-03 16:34:11.001212,192.168.43.233,141.95.98.64,298,N/A,TCP
2024-07-03 16:34:11.003743,103.43.90.21,192.168.43.233,54,N/A,TCP
2024-07-03 16:34:11.014428,103.43.90.21,192.168.43.233,957,N/A,TCP
2024-07-03 16:34:11.015399,141.95.98.64,192.168.43.233,54,N/A,TCP
