Time,Source,Destination,Length,Info,Protocol
2024-08-11 17:43:15.048265,206.247.139.90,10.20.27.93,56,,TCP
2024-08-11 17:43:15.203892,10.20.27.93,206.247.139.90,771,,TCP
2024-08-11 17:43:15.306704,206.247.139.90,10.20.27.93,56,,TCP
2024-08-11 17:43:15.311244,206.247.139.90,10.20.27.93,104,,TCP
2024-08-11 17:43:15.352456,10.20.27.93,206.247.139.90,54,,TCP
2024-08-11 17:43:15.495971,206.247.139.90,10.20.27.93,141,,TCP
2024-08-11 17:43:15.514415,10.20.27.93,206.247.139.90,97,,TCP
2024-08-11 17:43:15.661636,206.247.139.90,10.20.27.93,56,,TCP
2024-08-11 17:43:15.950736,10.20.27.93,206.247.139.90,92,,TCP
2024-08-11 17:43:15.996210,206.247.139.90,10.20.27.93,103,,TCP
2024-08-11 17:43:15.996476,10.20.27.93,206.247.139.90,121,,TCP
2024-08-11 17:43:16.053632,206.247.139.90,10.20.27.93,56,,TCP
2024-08-11 17:43:16.053632,206.247.139.90,10.20.27.93,92,,TCP
2024-08-11 17:43:16.093839,10.20.27.93,206.247.139.90,54,,TCP
2024-08-11 17:43:16.141205,206.247.139.90,10.20.27.93,56,,TCP
2024-08-11 17:43:16.263621,10.20.27.93,206.247.139.90,125,,TCP
2024-08-11 17:43:16.367853,206.247.139.90,10.20.27.93,56,,TCP
2024-08-11 17:43:16.375589,206.247.139.90,10.20.27.93,104,,TCP
2024-08-11 17:43:16.375589,206.247.139.90,10.20.27.93,125,,TCP
2024-08-11 17:43:16.375780,10.20.27.93,206.247.139.90,54,,TCP
2024-08-11 17:43:16.386610,10.20.27.93,206.247.139.90,97,,TCP
2024-08-11 17:43:16.524006,10.20.27.93,206.247.139.90,92,,TCP
2024-08-11 17:43:16.532745,206.247.139.90,10.20.27.93,56,,TCP
2024-08-11 17:43:16.549090,206.247.139.90,10.20.27.93,141,,TCP
2024-08-11 17:43:16.560632,10.20.27.93,206.247.139.90,97,,TCP
